country,at,be,bg,ch,cy,cz,de,dk,ee,es,fi,fr,gb,gr,hr,hu,ie,is,it,li,lt,lu,lv,mk,mt,nl,no,pl,pt,ro,se,si,sk,tr
at,0,152,64,120,9,290,544,85,26,510,278,439,185,81,128,188,55,11,415,0,42,9,31,5,0,196,42,270,89,91,139,98,112,230
be,102,0,65,93,27,216,453,59,20,1509,167,597,220,139,37,147,63,6,915,2,76,28,48,2,1,241,46,335,170,137,86,43,70,282
bg,3,17,0,2,0,30,31,1,9,88,3,59,1,6,9,10,11,0,22,0,27,0,19,5,0,11,0,135,41,17,0,3,22,30
ch,110,164,7,0,3,74,539,65,5,304,72,309,154,24,0,20,25,0,211,0,11,18,5,0,0,137,0,70,55,17,189,16,7,0
cy,6,30,0,0,0,36,49,17,5,34,21,48,29,40,1,13,4,0,21,1,45,1,21,0,0,13,0,74,4,4,1,7,2,0
cz,78,113,82,24,4,0,472,41,51,791,170,755,167,236,49,64,49,6,293,0,107,8,53,3,8,109,31,443,366,65,82,93,397,638
de,344,497,243,582,7,901,0,413,79,3499,813,3336,1328,488,149,652,280,16,2507,1,158,181,151,3,8,606,246,1694,299,331,405,216,330,2046
dk,189,208,10,105,1,152,777,0,21,659,99,689,236,50,1,63,55,34,303,1,79,0,48,0,10,308,166,230,86,62,46,29,36,158
ee,36,26,6,4,0,87,235,4,0,62,52,103,25,11,6,24,0,3,100,0,28,0,29,1,0,22,2,57,21,5,2,3,29,76
es,657,1276,121,325,31,533,5339,271,60,0,441,4639,2443,388,114,264,382,18,6669,6,229,12,121,2,2,1091,128,1775,896,465,335,140,231,871
fi,242,275,14,90,5,369,1382,19,66,833,0,1143,177,104,10,173,23,4,442,5,142,4,75,0,3,321,10,204,125,32,17,42,96,171
fr,500,851,121,380,16,592,4877,315,56,3620,442,0,2797,583,61,237,637,16,3205,1,136,115,93,4,1,653,218,977,301,836,525,69,203,619
gb,415,415,40,273,21,397,3140,466,48,2914,462,4360,0,149,18,123,109,16,1445,0,45,6,21,0,53,971,232,386,165,66,603,37,41,217
gr,28,31,25,3,86,142,146,11,12,208,24,211,19,0,2,33,3,0,144,0,57,0,30,0,0,43,11,203,30,86,16,5,37,117
hr,36,18,19,0,0,34,53,0,1,74,11,73,12,7,0,13,0,0,31,0,35,0,7,8,0,9,5,175,45,15,5,30,27,3
hu,19,110,36,8,0,49,558,29,17,372,119,559,58,62,26,0,26,6,281,0,64,6,23,0,0,221,20,270,167,215,22,12,58,554
ie,167,165,7,68,4,91,1043,88,4,616,123,1482,56,12,2,26,0,2,290,2,7,0,2,0,15,198,40,88,23,14,111,18,12,45
is,39,9,0,0,0,20,127,18,6,38,20,56,18,2,0,4,4,0,31,1,4,0,8,0,0,21,0,27,1,5,12,6,10,0
it,363,488,90,132,17,253,1705,96,42,5980,146,1771,901,269,90,229,69,12,0,0,153,7,56,13,45,336,103,1012,705,424,166,31,126,1042
li,0,3,0,0,0,7,3,0,0,4,2,2,0,0,0,4,1,0,0,0,0,1,5,0,0,0,0,2,0,2,0,0,0,0
lt,19,41,12,7,5,119,138,9,5,250,5,240,4,25,20,29,3,2,149,0,0,0,116,1,0,37,0,73,114,17,8,11,51,572
lu,0,3,1,1,0,6,31,0,0,9,0,17,3,0,0,3,0,0,15,0,4,0,2,0,0,0,0,8,5,0,0,0,1,0
lv,13,7,10,0,0,47,180,4,10,91,7,120,2,10,6,12,0,0,53,0,50,1,0,2,0,26,2,53,19,13,0,2,25,211
mk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mt,22,21,0,4,0,9,56,10,1,13,17,55,66,4,0,0,25,0,102,0,7,0,8,0,0,7,6,32,0,0,5,3,2,5
nl,255,335,31,154,10,258,969,209,37,1249,411,966,581,128,9,199,132,8,686,3,78,4,74,4,1,0,124,281,217,67,319,62,47,460
no,160,137,7,0,0,219,1101,103,11,451,40,709,133,37,2,30,24,0,304,2,63,0,59,0,0,253,0,190,46,46,51,4,44,0
pl,52,112,102,23,12,173,956,25,9,2457,48,948,69,151,107,163,20,0,642,0,89,2,52,7,2,84,12,0,781,217,28,44,219,2987
pt,134,257,71,36,10,369,717,58,54,2095,101,412,137,184,79,130,12,1,1280,0,225,20,75,3,0,203,56,1146,0,197,79,167,154,558
ro,3,32,10,2,0,5,86,13,1,275,3,321,5,31,0,39,0,5,208,0,9,0,5,5,0,11,1,65,166,0,2,0,11,390
se,409,267,23,260,12,251,2314,51,34,867,141,1604,339,87,19,33,93,26,520,0,94,8,45,3,2,621,51,198,86,36,0,31,40,309
si,29,50,13,4,0,163,119,5,9,228,40,138,20,18,83,29,10,2,57,0,45,0,23,16,0,20,4,169,116,3,9,0,59,196
sk,7,7,27,2,0,67,60,0,2,220,19,113,12,21,35,13,0,0,74,0,28,0,22,2,0,10,2,252,68,14,0,9,0,161
tr,119,130,48,0,5,234,1783,96,15,301,42,647,85,109,7,92,6,0,474,0,190,0,40,0,0,452,0,490,118,184,61,46,69,0
