Institutional code,Name of Organisation,Country,City,coordinates
A  BADEN01,PAEDAGOGISCHE HOCHSCHULE NIEDEROESTERREICH,AT,Baden,"(48.00849239999999, 16.2552558)"
A  DORNBIR01,FACHHOCHSCHULE VORARLBERG GMBH,AT,Dornbirn,"(47.4067642, 9.744422300000002)"
A  EISENST01,STIFTUNG PRIVATE PÄDAGOGISCHE HOCHSCHULE BURGENLAND,AT,Eisenstadt,"(47.8295268, 16.5337338)"
A  EISENST02,Fachhochschulstudiengaenge Burgenland Gesellschaft m.b.H,AT,Eisenstadt,"(47.8294118, 16.5350525)"
A  EISENST05,JOSEPH HAYDN KONSERVATORIUM DES LANDES BURGENLAND,AT,Eisenstadt,"(47.8500376, 16.514385)"
A  FELDKIR01,PAEDAGOGISCHE HOCHSCHULE VORARLBERG,AT,Feldkirch,"(47.2339377, 9.590126399999999)"
A  FELDKIR03,VORARLBERGER LANDESKONSERVATORIUM GMBH,AT,Feldkirch,"(47.23518869999999, 9.595284699999999)"
A  GRAZ01,KARL-FRANZENS-UNIVERSITAET GRAZ,AT,Graz,"(47.0777872, 15.4499126)"
A  GRAZ02,TECHNISCHE UNIVERSITAET GRAZ ,AT,Graz,"(47.0691371, 15.4503154)"
A  GRAZ03,UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST GRAZ,AT,Graz,"(47.07225649999999, 15.4499422)"
A  GRAZ04,PAEDAGOGISCHE HOCHSCHULE STEIERMARK,AT,GRAZ,"(47.082634, 15.4339869)"
A  GRAZ08,KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE DER DIOEZESE GRAZ-SECKAU,AT,Graz,"(47.0821029, 15.4379865)"
A  GRAZ09,FH JOANNEUM GESELLSCHAFT MBH,AT,Graz,"(47.0693, 15.4097888)"
A  GRAZ10,CAMPUS 02 FACHHOCHSCHULE DER WIRTSCHAFT GMBH,AT,Graz,"(47.0894341, 15.4401255)"
A  GRAZ23,MEDIZINISCHE UNIVERSITÄT GRAZ,AT,GRAZ,"(47.0797409, 15.4665653)"
A  INNSBRU01,LEOPOLD-FRANZENS-UNIVERSITÄT INNSBRUCK ,AT,Innsbruck,"(47.26335419999999, 11.3838006)"
A  INNSBRU03,PAEDAGOGISCHE HOCHSCHULE TIROL,AT,INNSBRUCK,"(47.2533719, 11.3952919)"
A  INNSBRU08,MANAGEMENT CENTER INNSBRUCK ,AT,INNSBRUCK,"(47.26905199999999, 11.398186)"
