Institutional code,Application Reference Number,Name of Organisation,Country,City,Code,query
A  BADEN01,28505-IC-1-2007-1-AT-ERASMUS-EUC-1,PAEDAGOGISCHE HOCHSCHULE NIEDEROESTERREICH,AT,Baden,EUC,"('org', 'Baden', (48.00849239999999, 16.2552558))"
A  DORNBIR01,29270-IC-1-2007-1-AT-ERASMUS-EUCX-1,FACHHOCHSCHULE VORARLBERG GMBH,AT,Dornbirn,EUCX,"('org', 'Dornbirn', (47.4067642, 9.744422300000002))"
A  EISENST01,28577-IC-1-2007-1-AT-ERASMUS-EUCX-1,STIFTUNG PRIVATE PÄDAGOGISCHE HOCHSCHULE BURGENLAND,AT,Eisenstadt,EUCX,"('org', 'Eisenstadt', (47.8295268, 16.5337338))"
A  EISENST02,28529-IC-1-2007-1-AT-ERASMUS-EUCX-1,Fachhochschulstudiengaenge Burgenland Gesellschaft m.b.H,AT,Eisenstadt,EUCX,"('org', 'Eisenstadt', (47.8294118, 16.5350525))"
A  EISENST05,215141-IC-1-2007-1-AT-ERASMUS-EUC-1,JOSEPH HAYDN KONSERVATORIUM DES LANDES BURGENLAND,AT,Eisenstadt,EUC,"('org', 'Austria', (47.8500376, 16.514385))"
A  FELDKIR01,28594-IC-1-2007-1-AT-ERASMUS-EUCX-1,PAEDAGOGISCHE HOCHSCHULE VORARLBERG,AT,Feldkirch,EUCX,"('org', 'Feldkirch', (47.2339377, 9.590126399999999))"
A  FELDKIR03,227559-IC-1-2007-1-AT-ERASMUS-EUCX-1,VORARLBERGER LANDESKONSERVATORIUM GMBH,AT,Feldkirch,EUCX,"('org', 'Feldkirch', (47.23518869999999, 9.595284699999999))"
A  GRAZ01,28563-IC-1-2007-1-AT-ERASMUS-EUCX-1,KARL-FRANZENS-UNIVERSITAET GRAZ,AT,Graz,EUCX,"('org', 'Graz', (47.0777872, 15.4499126))"
A  GRAZ02,29283-IC-1-2007-1-AT-ERASMUS-EUCX-1,TECHNISCHE UNIVERSITAET GRAZ ,AT,Graz,EUCX,"('org', 'Graz', (47.0691371, 15.4503154))"
A  GRAZ03,29302-IC-1-2007-1-AT-ERASMUS-EUCX-1,UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST GRAZ,AT,Graz,EUCX,"('org', 'Graz', (47.07225649999999, 15.4499422))"
A  GRAZ04,28516-IC-1-2010-1-AT-ERASMUS-EUCX-1,PAEDAGOGISCHE HOCHSCHULE STEIERMARK,AT,GRAZ,EUCX,"('org', 'Hasnerplatz', (47.082634, 15.4339869))"
A  GRAZ08,28566-IC-1-2007-1-AT-ERASMUS-EUC-1,KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE DER DIOEZESE GRAZ-SECKAU,AT,Graz,EUC,"('org', 'Graz', (47.0821029, 15.4379865))"
A  GRAZ09,48339-IC-1-2007-1-AT-ERASMUS-EUCX-1,FH JOANNEUM GESELLSCHAFT MBH,AT,Graz,EUCX,"('org', 'Gries', (47.0693, 15.4097888))"
A  GRAZ10,221685-IC-1-2007-1-AT-ERASMUS-EUCX-1,CAMPUS 02 FACHHOCHSCHULE DER WIRTSCHAFT GMBH,AT,Graz,EUCX,"('org', 'Graz', (47.0894341, 15.4401255))"
A  GRAZ23,220842-IC-1-2009-1-AT-ERASMUS-EUCX-1,MEDIZINISCHE UNIVERSITÄT GRAZ,AT,GRAZ,EUCX,"('org', 'Graz', (47.0797409, 15.4665653))"
A  INNSBRU01,29267-IC-1-2007-1-AT-ERASMUS-EUCX-1,LEOPOLD-FRANZENS-UNIVERSITÄT INNSBRUCK ,AT,Innsbruck,EUCX,"('org', 'Innenstadt', (47.26335419999999, 11.3838006))"
A  INNSBRU03,239633-IC-1-2007-1-AT-ERASMUS-EUCX-1,PAEDAGOGISCHE HOCHSCHULE TIROL,AT,INNSBRUCK,EUCX,"('org', 'Wilten', (47.2533719, 11.3952919))"
A  INNSBRU08,215901-IC-1-2007-1-AT-ERASMUS-EUCX-1,MANAGEMENT CENTER INNSBRUCK ,AT,INNSBRUCK,EUCX,"('org', 'Innenstadt', (47.26905199999999, 11.398186))"
A  INNSBRU09,29271-IC-1-2008-1-AT-ERASMUS-EUC-1,KIRCHLICHE PÄDAGOGISCHE HOCHSCHULE - EDITH STEIN (KPH-ES),AT,INNSBRUCK,EUC,"('org', 'Innsbruck', (47.2722287, 11.3876452))"
A  INNSBRU20,217232-IC-1-2010-1-AT-ERASMUS-EUCX-1,"PRIVATE UNIVERSITAET FUER GESUNDHEITSWISSENSCHAFTEN, MEDIZINISCHE INFORMATIK UND TECHNIK (UMIT)",AT,HALL ,EUCX,"('org', 'Hall in Tirol', (47.2836374, 11.5172275))"
A  INNSBRU21,220726-IC-1-2010-1-AT-ERASMUS-EUCX-1,MEDIZINISCHE UNIVERSITAET INNSBRUCK,AT,INNSBRUCK,EUCX,"('org', 'Innsbruck', (47.26303619999999, 11.3844528))"
A  INNSBRU23,251195-IC-1-2009-1-AT-ERASMUS-EUCX-1,FHG - ZENTRUM FÜR GESUNDHEITSBERUFE TIROL GMBH,AT,INNSBRUCK,EUCX,"('org', 'Wilten', (47.2585881, 11.3800125))"
A  KLAGENF01,28552-IC-1-2007-1-AT-ERASMUS-EUCX-1,UNIVERSITÄT KLAGENFURT,AT,Klagenfurt,EUCX,"('org', 'Klagenfurt am Wörthersee', (46.616079, 14.2652899))"
A  KLAGENF02,29287-IC-1-2011-1-AT-ERASMUS-EUCX-1,"PÄDAGOGISCHE HOCHSCHULE KÄRNTEN, VIKTOR FRANKL HOCHSCHULE",AT,KLAGENFURT ,EUCX,"('org', 'Klagenfurt am Wörthersee', (46.6081879, 14.2892942))"
A  KLAGENF06,252184-IC-1-2009-1-AT-ERASMUS-EUC-1,KÄRNTNER LANDESKONSERVATORIUM,AT,KLAGENFURT,EUC,"('org', 'Klagenfurt am Wörthersee', (46.6212762, 14.3136966))"
A  KREMS02,29307-IC-1-2007-1-AT-ERASMUS-EUCX-1,INTERNATIONALES KOLLEG FUR TOURISMUS UND MANAGEMENT - ITM GMBH,AT,Semmering,EUCX,"('org', 'Lower Austria', (47.6435616, 15.8302052))"
A  KREMS03,29732-IC-1-2007-1-AT-ERASMUS-EUCX-1,IMC FACHHOCHSCHULE KREMS GESMBH,AT,Krems,EUCX,"('org', '3500', (48.40872, 15.5880216))"
A  KREMS05,227426-IC-1-2007-1-AT-ERASMUS-EUC-1,"DONAU-UNIVERSITÄT KREMS (DUK), ÖSTERREICH",AT,Krems,EUC,"('org', 'Krems an der Donau', (48.4081548, 15.5862305))"
A  KUFSTEI01,46217-IC-1-2007-1-AT-ERASMUS-EUCX-1,FHS KUFSTEIN TIROL BILDUNGS - GMBH,AT,Kufstein,EUCX,"('org', 'Kufstein', (47.583807, 12.1736679))"
A  LEOBEN01,29325-IC-1-2007-1-AT-ERASMUS-EUCX-1,MONTANUNIVERSITAET LEOBEN ,AT,Leoben,EUCX,"('org', 'Leoben', (47.3847372, 15.0930201))"
A  LINZ01,28510-IC-1-2007-1-AT-ERASMUS-EUCX-1,JOHANNES KEPLER UNIVERSITAET LINZ,AT,Linz,EUCX,"('org', 'Sankt Magdalena', (48.336614, 14.319305))"
A  LINZ02,28573-IC-1-2007-1-AT-ERASMUS-EUCX-1,UNIVERSITAET FUER KUENSTLERISCHE UND INDUSTRIELLE GESTALTUNG LINZ,AT,Linz,EUCX,"('org', 'Innenstadt', (48.305847, 14.2893048))"
A  LINZ03,29268-IC-1-2007-1-AT-ERASMUS-EUCX-1,PAEDAGOGISCHE HOCHSCHULE OBEROESTERREICH,AT,LINZ,EUCX,"('org', 'Innenstadt', (48.3076144, 14.3047467))"
A  LINZ04,29266-IC-1-2007-1-AT-ERASMUS-EUCX-1,PRIVATE PAEDAGOGISCHE HOCHSCHULE DER DIÖZESE LINZ,AT,Linz,EUCX,"('org', 'Waldegg', (48.2972328, 14.2733199))"
A  LINZ11,103242-IC-1-2008-1-AT-ERASMUS-EUC-1,KATHOLISCH-THEOLOGISCHE PRIVATUNIVERSITÄT LINZ,AT,LINZ,EUC,"('org', 'Innenstadt', (48.3036115, 14.2916436))"
A  LINZ17,223847-IC-1-2007-1-AT-ERASMUS-EUCX-1,"Anton Bruckner Privatuniversitaet fuer Musik, Schauspiel und Tanz",AT,Linz,EUCX,"('org', 'Pöstlingberg', (48.3112427, 14.2689553))"
A  LINZ23,261370-IC-1-2012-1-AT-ERASMUS-EUCX-1,FH GESUNDHEITSBERUFE OÖ GMBH ,AT,LINZ,EUCX,"('org', 'Linz', (48.3024301, 14.3076584))"
A  SALZBUR01,29320-IC-1-2007-1-AT-ERASMUS-EUCX-1,UNIVERSITAET SALZBURG,AT,Salzburg,EUCX,"('org', 'Salzburg', (47.79722959999999, 13.0479826))"
A  SALZBUR02,29295-IC-1-2007-1-AT-ERASMUS-EUC-1,UNIVERSITÄT MOZARTEUM SALZBURG,AT,Salzburg,EUC,"('org', 'Salzburg', (47.8038789, 13.0436663))"
A  SALZBUR03,29289-IC-1-2007-1-AT-ERASMUS-EUC-1,PAEDAGOGISCHE HOCHSCHULE SALZBURG,AT,Salzburg,EUC,"('org', 'Salzburg', (47.7926778, 13.0541664))"
A  SALZBUR08,29324-IC-1-2007-1-AT-ERASMUS-EUCX-1,FACHHOCHSCHULE SALZBURG  GMBH,AT,Puch/Salzburg,EUCX,"('org', 'Puch bei Hallein', (47.72336, 13.0871409))"
A  SALZBUR18,255323-IC-1-2010-1-AT-ERASMUS-EUC-1,PRIVATUNIVERSITÄT SCHLOSS SEEBURG,AT,SEEKIRCHEN,EUC,"('org', 'Seekirchen am Wallersee', (47.9031027, 13.136157))"
A  SCHLAIN01,258780-IC-1-2011-1-AT-ERASMUS-EUCX-1,EUROPEAN PEACE UNIVERSITY (EPU) - PRIVATE UNIVERSITÄT,AT,STADTSCHLAINING,EUCX,"('org', 'Burgenland', (47.32252219999999, 16.2742497))"
A  SPITTAL01,29298-IC-1-2007-1-AT-ERASMUS-EUCX-1,FACHHOCHSCHULE KAERNTEN GEMEINNUETZIGE PRIVATSTIFTUNG,AT,Spittal/Drau,EUCX,"('org', 'Klagenfurt am Wörthersee', (46.6103274, 14.3304032))"
A  ST-POLT03,83637-IC-1-2007-1-AT-ERASMUS-EUCX-1,FACHHOCHSCHULE ST. PÖLTEN GMBH,AT,ST. PÖLTEN,EUCX,"('org', 'Sankt Pölten', (48.2138999, 15.6318955))"
A  ST-POLT10,259106-IC-1-2011-1-AT-ERASMUS-EUC-1,NEW DESIGN UNIVERSITY (PRIVATUNIVERSITÄT DER KREATIVWIRTSCHAFT GWT AUS- UND WEITERBILDUNGS GESMBH),AT,ST. PÖLTEN,EUC,"('org', 'Sankt Pölten', (48.18744359999999, 15.6192813))"
A  WELS01,29304-IC-1-2007-1-AT-ERASMUS-EUCX-1,FH OBEROESTERREICH STUDIENBETRIEBSGMBH,AT,Wels,EUCX,"('org', 'Wels', (48.1548429, 14.0112978))"
A  WIEN01,28545-IC-1-2007-1-AT-ERASMUS-EUCX-1,UNIVERSITAET WIEN,AT,Wien,EUCX,"('org', 'Innere Stadt', (48.21318549999999, 16.3600504))"
A  WIEN02,29318-IC-1-2007-1-AT-ERASMUS-EUCX-1,TECHNISCHE UNIVERSITÄT WIEN,AT,Wien,EUCX,"('org', 'Wieden', (48.1986546, 16.3684626))"
A  WIEN03,29312-IC-1-2007-1-AT-ERASMUS-EUCX-1,UNIVERSITAT FUR BODENKULTUR WIEN,AT,Wien,EUCX,"('org', 'Währing', (48.2365448, 16.337579))"
A  WIEN04,27489-IC-1-2007-1-AT-ERASMUS-EUCX-1,VETERINAERMEDIZINISCHE UNIVERSITAET WIEN,AT,Wien,EUCX,"('org', 'Floridsdorf', (48.25442229999999, 16.4316619))"
A  WIEN05,29285-IC-1-2007-1-AT-ERASMUS-EUCX-1,WIRTSCHAFTSUNIVERSITAET WIEN,AT,Wien,EUCX,"('org', 'Leopoldstadt', (48.21342749999999, 16.4084666))"
A  WIEN06,28590-IC-1-2007-1-AT-ERASMUS-EUCX-1,AKADEMIE DER BILDENDEN KUENSTE WIEN,AT,WIEN,EUCX,"('org', 'Innere Stadt', (48.2012533, 16.3651029))"
A  WIEN07,29293-IC-1-2007-1-AT-ERASMUS-EUCX-1,UNIVERSITAET FUER ANGEWANDTE KUNST WIEN,AT,Wien,EUCX,"('org', '1010', (48.208361, 16.3823507))"
A  WIEN08,28558-IC-1-2007-1-AT-ERASMUS-EUC-1,UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST WIEN,AT,Wien,EUC,"('org', 'Landstraße', (48.2018433, 16.3848833))"
A  WIEN09,29274-IC-1-2008-1-AT-ERASMUS-EUCX-1,PAEDAGOGISCHE HOCHSCHULE WIEN,AT,Wien,EUCX,"('org', 'Favoriten', (48.1648481, 16.3740426))"
A  WIEN10,29281-IC-1-2007-1-AT-ERASMUS-EUCX-1,KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE WIEN/KREMS,AT,Wien,EUCX,"('org', 'Floridsdorf', (48.2942221, 16.3809957))"
A  WIEN15,75377-IC-1-2007-1-AT-ERASMUS-EUC-1,HOCHSCHULE FÜR AGRAR- UND UMWELTPÄDAGOGIK,AT,Wien,EUC,"('org', 'Hietzing', (48.1842036, 16.2663763))"
