"TIME","GEO","UNIT","INDX","COICOP","Value","Flag and Footnotes"
"2013M01","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","90.30",""
"2013M01","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","94.54",""
"2013M01","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","99.6",""
"2013M01","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","108.1",""
"2013M01","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","93.8",""
"2013M01","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","91.39",""
"2013M01","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","100.1",""
"2013M01","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","104.66",""
"2013M01","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","97.04",""
"2013M01","France","Index, 2015=100","Harmonised index of consumer prices","Beer","96.85",""
"2013M01","Croatia","Index, 2015=100","Harmonised index of consumer prices","Beer","91.54",""
"2013M01","Italy","Index, 2015=100","Harmonised index of consumer prices","Beer","98.0",""
"2013M01","Cyprus","Index, 2015=100","Harmonised index of consumer prices","Beer","94.45",""
"2013M01","Latvia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.18",""
"2013M01","Lithuania","Index, 2015=100","Harmonised index of consumer prices","Beer","101.67",""
"2013M01","Luxembourg","Index, 2015=100","Harmonised index of consumer prices","Beer","92.56",""
"2013M01","Hungary","Index, 2015=100","Harmonised index of consumer prices","Beer","103.20",""
"2013M01","Malta","Index, 2015=100","Harmonised index of consumer prices","Beer","95.24",""
"2013M01","Netherlands","Index, 2015=100","Harmonised index of consumer prices","Beer","101.71",""
"2013M01","Austria","Index, 2015=100","Harmonised index of consumer prices","Beer","92.78",""
"2013M01","Poland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.8",""
"2013M01","Portugal","Index, 2015=100","Harmonised index of consumer prices","Beer","91.41",""
"2013M01","Romania","Index, 2015=100","Harmonised index of consumer prices","Beer","95.74",""
"2013M01","Slovenia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.00",""
"2013M01","Slovakia","Index, 2015=100","Harmonised index of consumer prices","Beer","99.96",""
"2013M01","Finland","Index, 2015=100","Harmonised index of consumer prices","Beer","99.15",""
"2013M01","Sweden","Index, 2015=100","Harmonised index of consumer prices","Beer","94.52",""
"2013M01","United Kingdom","Index, 2015=100","Harmonised index of consumer prices","Beer","108.3",""
"2013M01","Iceland","Index, 2015=100","Harmonised index of consumer prices","Beer","98.11",""
"2013M01","Norway","Index, 2015=100","Harmonised index of consumer prices","Beer","91.7",""
"2013M01","Switzerland","Index, 2015=100","Harmonised index of consumer prices","Beer","103.00",""
"2013M01","Turkey","Index, 2015=100","Harmonised index of consumer prices","Beer","77.05","d"
"2013M02","Belgium","Index, 2015=100","Harmonised index of consumer prices","Beer","91.60",""
"2013M02","Bulgaria","Index, 2015=100","Harmonised index of consumer prices","Beer","95.23",""
"2013M02","Czechia","Index, 2015=100","Harmonised index of consumer prices","Beer","98.1",""
"2013M02","Denmark","Index, 2015=100","Harmonised index of consumer prices","Beer","107.7",""
"2013M02","Germany (until 1990 former territory of the FRG)","Index, 2015=100","Harmonised index of consumer prices","Beer","94.8",""
"2013M02","Estonia","Index, 2015=100","Harmonised index of consumer prices","Beer","91.85",""
"2013M02","Ireland","Index, 2015=100","Harmonised index of consumer prices","Beer","101.3",""
"2013M02","Greece","Index, 2015=100","Harmonised index of consumer prices","Beer","105.84",""
"2013M02","Spain","Index, 2015=100","Harmonised index of consumer prices","Beer","97.25",""
