country,sending_first,sending_second,sending_short,sending_third,receiving_first,receiving_second,receiving_short,receiving_third
AT,3378.0,2352.0,0.0,63.0,3862.0,2159.0,60.0,107.0
BE,5051.0,2683.0,1.0,19.0,5819.0,3191.0,200.0,111.0
BG,1128.0,565.0,0.0,64.0,605.0,226.0,55.0,8.0
CH,1996.0,978.0,9.0,53.0,2226.0,1907.0,41.0,61.0
CY,355.0,10.0,12.0,18.0,655.0,123.0,16.0,9.0
CZ,2725.0,4465.0,1.0,319.0,4501.0,2101.0,110.0,156.0
DE,27517.0,8615.0,58.0,67.0,19787.0,10016.0,692.0,469.0
DK,2483.0,1008.0,216.0,3.0,3686.0,1966.0,77.0,50.0
EE,664.0,337.0,0.0,9.0,859.0,387.0,39.0,17.0
ES,30896.0,3063.0,3131.0,145.0,26930.0,10921.0,1125.0,301.0
FI,4679.0,871.0,0.0,19.0,4800.0,2259.0,148.0,72.0
FR,15847.0,16869.0,3933.0,110.0,21552.0,7344.0,294.0,431.0
GB,14888.0,525.0,13.0,184.0,17885.0,7427.0,1699.0,390.0
GR,4224.0,189.0,0.0,57.0,2055.0,829.0,66.0,54.0
HR,540.0,833.0,0.0,30.0,572.0,359.0,34.0,22.0
HU,2382.0,1542.0,17.0,84.0,3373.0,1266.0,91.0,34.0
IE,2838.0,130.0,0.0,4.0,4472.0,1576.0,533.0,41.0
IS,144.0,79.0,0.0,14.0,415.0,245.0,8.0,6.0
IT,11809.0,14020.0,3.0,499.0,14434.0,4846.0,704.0,220.0
LI,11.0,19.0,0.0,0.0,33.0,32.0,1.0,2.0
LT,2897.0,439.0,0.0,87.0,1822.0,555.0,66.0,24.0
LU,432.0,2.0,0.0,0.0,312.0,253.0,17.0,3.0
LV,1633.0,417.0,77.0,58.0,840.0,298.0,72.0,21.0
MK,80.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0
MT,191.0,27.0,10.0,2.0,1050.0,369.0,545.0,14.0
NL,9051.0,1533.0,0.0,54.0,6908.0,3359.0,162.0,122.0
NO,976.0,686.0,0.0,4.0,2900.0,1790.0,65.0,51.0
PL,7533.0,7674.0,2.0,312.0,8960.0,2324.0,304.0,105.0
PT,4829.0,2105.0,2.0,21.0,7090.0,3002.0,260.0,78.0
RO,4083.0,1482.0,3.0,174.0,1516.0,538.0,115.0,20.0
SE,2517.0,1191.0,2.0,10.0,6042.0,3833.0,59.0,78.0
SI,938.0,681.0,109.0,64.0,1229.0,608.0,43.0,31.0
SK,1081.0,1922.0,0.0,174.0,1084.0,423.0,25.0,38.0
TR,13357.0,1042.0,192.0,469.0,4878.0,1830.0,65.0,45.0
