CountryReceiving;CountrySending;km
AT;NO;1311.7
AT;NO;1311.7
AT;NO;1311.7
AT;NO;1311.7
AT;NO;1289.3
AT;NO;1289.3
AT;NO;1395.8
BE;NO;972.4
BE;NO;972.4
BE;NO;972.4
BE;NO;975.8
BE;NO;975.8
BE;NO;975.8
CZ;NO;1194
CZ;NO;1194
CZ;NO;1194
CZ;NO;1194
CZ;NO;1194
CZ;NO;1194
CZ;NO;1069.4
CZ;NO;983.2
CZ;NO;983.2
CZ;NO;1052.6
CZ;NO;1169.4
CZ;NO;1169.4
CZ;NO;1169.4
CZ;NO;1193.6
CZ;NO;1193.6
DE;NO;1065.5
DE;NO;1065.5
DE;NO;846
DE;NO;620.8
DE;NO;620.8
DE;NO;923
DE;NO;789
DE;NO;789
DK;NO;423.4
DK;NO;423.4
EE;NO;859.4
ES;NO;2270.6
ES;NO;2270.6
ES;NO;2270.6
ES;NO;2298.9
ES;NO;2298.9
ES;NO;1960.1
ES;NO;1960.1
ES;NO;2116.9
ES;NO;1966.3
ES;NO;1966.3
ES;NO;1966.3
ES;NO;2692.9
FR;NO;1768.3
FR;NO;1398.3
FR;NO;1398.3
FR;NO;1283.5
FR;NO;1184.3
FR;NO;1184.3
FR;NO;1181.9
FR;NO;1821.5
FR;NO;1821.5
FR;NO;1821.5
FR;NO;1821.5
UK;NO;1195.6
UK;NO;1195.6
UK;NO;1195.6
UK;NO;1195.6
UK;NO;825.1
HU;NO;1431.6
IT;NO;1483.8
IT;NO;1483.8
IT;NO;1633.2
IT;NO;1633.2
IT;NO;1726.9
LT;NO;982.8
LT;NO;982.8
LT;NO;1069.4
LT;NO;1069.6
LT;NO;1069.6
LV;NO;885.2
LV;NO;885.2
PL;NO;757.3
PL;NO;757.3
PL;NO;1156.2
PL;NO;1156.2
PL;NO;1009.2
PL;NO;1009.2
RO;NO;1657.2
SE;NO;440.9
SK;NO;1319.4
SK;NO;1319.4
SK;NO;1317.1
SK;NO;1252.3
SK;NO;1252.3
SK;NO;1252.3
SK;NO;1252.3
SK;NO;1252.3
SK;NO;1252.3
SK;NO;1252.3
SK;NO;1252.3
AT;IE;1690.1
AT;IE;1690.1
AT;IE;1690.1
AT;IE;1545.6
CZ;IE;1652.9
ES;IE;1608.6
ES;IE;1608.6
FR;IE;666.5
IT;IE;2074.6
AT;ES;3509.1
AT;ES;3509.1
AT;ES;3407.7
AT;ES;3407.7
AT;ES;3407.3
AT;ES;3526.6
AT;ES;3526.6
AT;ES;3526.6
AT;ES;3526.6
AT;ES;3526.6
AT;ES;3526.6
AT;ES;3526.6
AT;ES;3525
AT;ES;3525
AT;ES;3287
AT;ES;3151.2
AT;ES;3151.2
AT;ES;3406.9
AT;ES;3406.9
AT;ES;3526.3
AT;ES;3526.3
BE;ES;3024.9
BE;ES;3024.9
BE;ES;3024.9
BE;ES;3024.9
BE;ES;3025.7
BE;ES;2973.9
BE;ES;3059.3
BE;ES;3059.3
BE;ES;3059.3
BE;ES;3059.3
BE;ES;3063.4
BE;ES;2972.8
BE;ES;2972.8
BE;ES;2972.8
BE;ES;3042.8
BE;ES;3042.8
BE;ES;3042.8
BE;ES;3042.8
BG;ES;3832.8
CH;ES;2806.4
CH;ES;3001.6
CH;ES;2757.9
CH;ES;3036.7
CZ;ES;3595.7
CZ;ES;3595.7
CZ;ES;3595.7
CZ;ES;3657.2
CZ;ES;3657.2
CZ;ES;3657.2
CZ;ES;3657.2
CZ;ES;3657.2
CZ;ES;3657.2
CZ;ES;3657.2
CZ;ES;3657.2
CZ;ES;3508.6
DE;ES;3150.6
DE;ES;3150.6
DE;ES;3269.4
DE;ES;3269.4
DE;ES;3269.4
DE;ES;3269.4
DE;ES;3508.1
DE;ES;3508.1
DE;ES;3508.1
DE;ES;3276.8
DE;ES;3276.8
DE;ES;3276.8
DE;ES;3578.8
DE;ES;3578.8
DE;ES;3099.9
DE;ES;2984.2
DE;ES;3141.3
DE;ES;3141.3
DE;ES;3399.9
DE;ES;3399.9
DE;ES;3399.9
DE;ES;3399.9
DE;ES;3399.9
DE;ES;3399.9
DE;ES;3399.9
DE;ES;3399.9
DE;ES;3399.9
DE;ES;3399.9
DE;ES;3217.3
DE;ES;3354.2
DE;ES;3354.2
DE;ES;3354.2
DE;ES;3354.2
DE;ES;3198.9
DE;ES;3714.7
DE;ES;3714.7
DE;ES;3714.7
DE;ES;3332.4
DE;ES;3332.4
DE;ES;3332.4
DE;ES;3332.4
DE;ES;3332.4
DE;ES;3332.4
DE;ES;3602.7
DE;ES;3602.7
DE;ES;3405.6
DE;ES;3405.6
DE;ES;3405.6
DE;ES;3405.6
DE;ES;3407.6
DE;ES;3407.6
DE;ES;3601.4
DE;ES;3601.4
DE;ES;3601.4
DE;ES;3315.8
DE;ES;3315.8
DE;ES;3574.9
DE;ES;3574.9
DE;ES;3576.9
DE;ES;3390.4
DE;ES;3314.5
DE;ES;3074
DE;ES;3074
DE;ES;3026.3
DE;ES;3026.3
DE;ES;3049.9
DE;ES;3154.2
DE;ES;3090.8
DE;ES;3090.8
DE;ES;3090.8
DE;ES;3211.4
DE;ES;3211.4
DE;ES;3432.5
DE;ES;3581.3
DE;ES;3436.5
DE;ES;3436.5
DE;ES;3436.5
DE;ES;3436.5
DE;ES;3553.5
DE;ES;3553.5
DE;ES;3438.6
DE;ES;3438.6
DE;ES;3438.6
DE;ES;3438.6
DE;ES;3438.6
DE;ES;3418.8
DE;ES;3413.3
DE;ES;3413.3
DE;ES;3440.3
DE;ES;3440.3
DE;ES;3440.3
DE;ES;3440.3
DE;ES;3394.2
DE;ES;3394.2
DE;ES;3344.2
DE;ES;3344.2
DE;ES;3222.5
DE;ES;3221.9
DE;ES;3221.9
DE;ES;3221.9
DE;ES;3221.9
DE;ES;3221.9
DE;ES;3221.9
DE;ES;3221.9
DE;ES;3095.9
DE;ES;3095.9
DE;ES;3095.9
DE;ES;3155.4
DE;ES;3155.4
DE;ES;3155.4
DE;ES;3155.4
DE;ES;3155.4
DE;ES;3155.4
DE;ES;3155.4
DE;ES;3155.4
DE;ES;3155.4
DE;ES;3564.1
DE;ES;3564.1
DE;ES;3128.7
DE;ES;3128.7
DE;ES;3128.7
DE;ES;3217.8
DE;ES;3216.6
DE;ES;3216.6
DE;ES;3216.6
DE;ES;3216.6
DE;ES;3216.6
DE;ES;3216.6
DE;ES;3216.6
FI;ES;4670.9
FI;ES;4832.8
FI;ES;4832.8
FI;ES;4715
FI;ES;4678.3
FR;ES;2507.2
FR;ES;2905.1
FR;ES;2905.1
FR;ES;2905.1
FR;ES;2905.1
FR;ES;2441.5
FR;ES;2441.5
FR;ES;2672.1
FR;ES;2672.1
FR;ES;2362.2
FR;ES;2362.2
FR;ES;2362.2
FR;ES;2362.2
FR;ES;2655.4
FR;ES;2437.7
FR;ES;2437.7
FR;ES;2438.4
FR;ES;2440.1
FR;ES;2440.1
FR;ES;2766.8
FR;ES;2162.1
FR;ES;2162.1
FR;ES;2162.1
FR;ES;4903.1
FR;ES;2756.7
FR;ES;2756.7
FR;ES;2287
FR;ES;2287
FR;ES;2287
FR;ES;2287
FR;ES;2416.8
FR;ES;2416.8
FR;ES;2416.8
FR;ES;2416.8
FR;ES;2397.2
FR;ES;2720.2
FR;ES;2720.2
FR;ES;2649.2
FR;ES;2649.2
FR;ES;2513.4
FR;ES;2513.4
FR;ES;2758.8
FR;ES;2758.8
FR;ES;2758.8
FR;ES;2760.4
FR;ES;2760.4
FR;ES;2285
FR;ES;2556.4
FR;ES;2556.4
UK;ES;3239.1
UK;ES;3031.7
UK;ES;3031.7
UK;ES;3210.6
UK;ES;2901
UK;ES;2901
UK;ES;2860
UK;ES;2860
UK;ES;2860
UK;ES;2860
UK;ES;2860
UK;ES;2860
GR;ES;3791
GR;ES;3791
GR;ES;3791
GR;ES;3791
GR;ES;3483.1
HR;ES;3320.8
HR;ES;3320.8
HR;ES;3320.8
HR;ES;3320.8
HR;ES;3320.8
HR;ES;3320.8
HR;ES;3320.8
HU;ES;3782.9
HU;ES;3782.9
HU;ES;3782.9
HU;ES;3782.9
HU;ES;3782.9
IE;ES;2787.1
IT;ES;2820.4
IT;ES;2883.7
IT;ES;2883.7
IT;ES;2883.7
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3269.3
IT;ES;3104.3
IT;ES;3104.3
IT;ES;3104.3
IT;ES;3104.3
IT;ES;3222.3
IT;ES;3222.3
IT;ES;2897.6
IT;ES;2897.6
IT;ES;2937.7
IT;ES;2937.7
IT;ES;2937.7
IT;ES;2937.7
IT;ES;2937.7
IT;ES;2937.7
IT;ES;2937.7
IT;ES;2937.7
IT;ES;2937.7
IT;ES;2937.7
IT;ES;2945.9
IT;ES;2945.9
IT;ES;2945.9
IT;ES;2945.9
IT;ES;2945.9
IT;ES;3063.5
IT;ES;3063.5
IT;ES;3063.5
IT;ES;3076.2
IT;ES;3076.2
IT;ES;2951.7
IT;ES;2898.7
IT;ES;2898.7
IT;ES;2898.7
IT;ES;2898.7
IT;ES;2898.7
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;2954.1
IT;ES;3204.3
IT;ES;3204.3
IT;ES;3204.3
IT;ES;3204.3
IT;ES;2778.1
IT;ES;2778.1
IT;ES;2778.1
IT;ES;2900.6
IT;ES;3077
IT;ES;2905.4
IT;ES;2905.4
IT;ES;2905.4
IT;ES;3109.3
IT;ES;3109.3
IT;ES;3168.9
IT;ES;3168.9
IT;ES;3168.9
IT;ES;3040.5
IT;ES;3040.5
IT;ES;3090.6
IT;ES;3090.6
IT;ES;2948.2
IT;ES;3029
IT;ES;3029
IT;ES;3029
IT;ES;3029
IT;ES;2957.9
IT;ES;3064
IT;ES;3064
IT;ES;3064
IT;ES;3108.1
IT;ES;3108.1
IT;ES;3108.1
IT;ES;2576.2
IT;ES;2576.2
IT;ES;2970.5
IT;ES;2970.5
IT;ES;2970.5
IT;ES;2970.5
IT;ES;2903.9
IT;ES;2903.9
IT;ES;2903.9
IT;ES;2903.9
IT;ES;2903.9
IT;ES;2903.9
IT;ES;2903.9
IT;ES;2903.9
IT;ES;2903.9
IT;ES;2903.9
IT;ES;2998.1
IT;ES;3166.7
IT;ES;3166.7
IT;ES;3166.7
IT;ES;2949.7
IT;ES;2892.7
IT;ES;2892.7
IT;ES;2892.7
IT;ES;2892.7
IT;ES;2892.7
IT;ES;2892.7
IT;ES;2892.7
IT;ES;2892.7
IT;ES;2892.7
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2992.2
IT;ES;2972.7
IT;ES;3088.7
IT;ES;3088.7
IT;ES;3088.7
IT;ES;3088.7
IT;ES;3088.7
IT;ES;3088.7
IT;ES;3088.7
IT;ES;3049.9
IT;ES;3049.9
IT;ES;3049.9
IT;ES;3049.9
