country,at,be,bg,ch,cy,cz,de,dk,ee,es,fi,fr,gb,gr,hr,hu,ie,is,it,li,lt,lu,lv,mt,nl,no,pl,pt,ro,se,si,sk,tr
at,0,102,3,110,6,78,344,189,36,657,242,500,415,28,36,19,167,39,363,0,19,0,13,22,255,160,52,134,3,409,29,7,119
be,152,0,17,164,30,113,497,208,26,1276,275,851,415,31,18,110,165,9,488,3,41,3,7,21,335,137,112,257,32,267,50,7,130
bg,64,65,0,7,0,82,243,10,6,121,14,121,40,25,19,36,7,0,90,0,12,1,10,0,31,7,102,71,10,23,13,27,48
ch,120,93,2,0,0,24,582,105,4,325,90,380,273,3,0,8,68,0,132,0,7,1,0,4,154,0,23,36,2,260,4,2,0
cy,9,27,0,3,0,4,7,1,0,31,5,16,21,86,0,0,4,0,17,0,5,0,0,0,10,0,12,10,0,12,0,0,5
cz,290,216,30,74,36,0,901,152,87,533,369,592,397,142,34,49,91,20,253,7,119,6,47,9,258,219,173,369,5,251,163,67,234
de,544,453,31,539,49,472,0,777,235,5339,1382,4877,3140,146,53,558,1043,127,1705,3,138,31,180,56,969,1101,956,717,86,2314,119,60,1783
dk,85,59,1,65,17,41,413,0,4,271,19,315,466,11,0,29,88,18,96,0,9,0,4,10,209,103,25,58,13,51,5,0,96
ee,26,20,9,5,5,51,79,21,0,60,66,56,48,12,1,17,4,6,42,0,5,0,10,1,37,11,9,54,1,34,9,2,15
es,510,1509,88,304,34,791,3499,659,62,0,833,3620,2914,208,74,372,616,38,5980,4,250,9,91,13,1249,451,2457,2095,275,867,228,220,301
fi,278,167,3,72,21,170,813,99,52,441,0,442,462,24,11,119,123,20,146,2,5,0,7,17,411,40,48,101,3,141,40,19,42
fr,439,597,59,309,48,755,3336,689,103,4639,1143,0,4360,211,73,559,1482,56,1771,2,240,17,120,55,966,709,948,412,321,1604,138,113,647
gb,185,220,1,154,29,167,1328,236,25,2443,177,2797,0,19,12,58,56,18,901,0,4,3,2,66,581,133,69,137,5,339,20,12,85
gr,81,139,6,24,40,236,488,50,11,388,104,583,149,0,7,62,12,2,269,0,25,0,10,4,128,37,151,184,31,87,18,21,109
hr,128,37,9,0,1,49,149,1,6,114,10,61,18,2,0,26,2,0,90,0,20,0,6,0,9,2,107,79,0,19,83,35,7
hu,188,147,10,20,13,64,652,63,24,264,173,237,123,33,13,0,26,4,229,4,29,3,12,0,199,30,163,130,39,33,29,13,92
ie,55,63,11,25,4,49,280,55,0,382,23,637,109,3,0,26,0,4,69,1,3,0,0,25,132,24,20,12,0,93,10,0,6
is,11,6,0,0,0,6,16,34,3,18,4,16,16,0,0,6,2,0,12,0,2,0,0,0,8,0,0,1,5,26,2,0,0
it,415,915,22,211,21,293,2507,303,100,6669,442,3205,1445,144,31,281,290,31,0,0,149,15,53,102,686,304,642,1280,208,520,57,74,474
li,0,2,0,0,1,0,1,1,0,6,5,1,0,0,0,0,2,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
lt,42,76,27,11,45,107,158,79,28,229,142,136,45,57,35,64,7,4,153,0,0,4,50,7,78,63,89,225,9,94,45,28,190
lu,9,28,0,18,1,8,181,0,0,12,4,115,6,0,0,6,0,0,7,1,0,0,1,0,4,0,2,20,0,8,0,0,0
lv,31,48,19,5,21,53,151,48,29,121,75,93,21,30,7,23,2,8,56,5,116,2,0,8,74,59,52,75,5,45,23,22,40
mk,5,2,5,0,0,3,3,0,1,2,0,4,0,0,8,0,0,0,13,0,1,0,2,0,4,0,7,3,5,3,16,2,0
mt,0,1,0,0,0,8,8,10,0,2,3,1,53,0,0,0,15,0,45,0,0,0,0,0,1,0,2,0,0,2,0,0,0
nl,196,241,11,137,13,109,606,308,22,1091,321,653,971,43,9,221,198,21,336,0,37,0,26,7,0,253,84,203,11,621,20,10,452
no,42,46,0,0,0,31,246,166,2,128,10,218,232,11,5,20,40,0,103,0,0,0,2,6,124,0,12,56,1,51,4,2,0
pl,270,335,135,70,74,443,1694,230,57,1775,204,977,386,203,175,270,88,27,1012,2,73,8,53,32,281,190,0,1146,65,198,169,252,490
pt,89,170,41,55,4,366,299,86,21,896,125,301,165,30,45,167,23,1,705,0,114,5,19,0,217,46,781,0,166,86,116,68,118
ro,91,137,17,17,4,65,331,62,5,465,32,836,66,86,15,215,14,5,424,2,17,0,13,0,67,46,217,197,0,36,3,14,184
se,139,86,0,189,1,82,405,46,2,335,17,525,603,16,5,22,111,12,166,0,8,0,0,5,319,51,28,79,2,0,9,0,61
si,98,43,3,16,7,93,216,29,3,140,42,69,37,5,30,12,18,6,31,0,11,0,2,3,62,4,44,167,0,31,0,9,46
sk,112,70,22,7,2,397,330,36,29,231,96,203,41,37,27,58,12,10,126,0,51,1,25,2,47,44,219,154,11,40,59,0,69
tr,230,282,30,0,0,638,2046,158,76,871,171,619,217,117,3,554,45,0,1042,0,572,0,211,5,460,0,2987,558,390,309,196,161,0
